AccNum	Query	STitle	Species	TaxID	Lineage	PcPositive	PcIdentity	AlnLength	SAccNum	SAllSeqID	Mismatch	GapOpen	QStart	QEnd	QLength	SStart	SEnd	SLength	EValue	BitScore	PcPosOrig	Name	QueryName	ClusterID	DomArch.Pfam	DomArch.SMART	DomArch.Phobius	DomArch.Gene3D	DomArch.TMHMM	DomArch.SignalP_GRAM_POSITIVE	DomArch.SUPERFAMILY	DomArch.MobiDBLite	DomArch.TIGRFAM
WP_000788742.1	WP_000799914.1	ATP-binding protein [Escherichia coli]	Escherichia coli	562	Bacteria>Proteobacteria	68.98	47.06	238	WP_000788742	ref|WP_000788742.1|	125	1	7	244	245	9	245	248	1.06e-52	180	71.01	BProteo_Ecoli_WP_000788742.1	BProteo_Ecoli_WP_000799914.1	3.147	IstB_IS21	""		P-loop containing nucleotide triphosphate hydrolases		""	P-loop containing nucleoside triphosphate hydrolases	""	
WP_000788755.1	WP_000799914.1	ATP-binding protein [Escherichia coli]	Escherichia coli	562	Bacteria>Proteobacteria	69.39	47.48	238	WP_000788755	ref|WP_000788755.1|	124	1	7	244	245	9	245	248	9.49e-53	180	71.43	BProteo_Ecoli_WP_000788755.1	BProteo_Ecoli_WP_000799914.1	3.147	IstB_IS21	""		P-loop containing nucleotide triphosphate hydrolases		""	P-loop containing nucleoside triphosphate hydrolases	""	
WP_000788761.1	WP_000799914.1	ATP-binding protein [Escherichia coli]	Escherichia coli	562	Bacteria>Proteobacteria	68.98	47.06	238	WP_000788761	ref|WP_000788761.1|	125	1	7	244	245	9	245	248	5.35e-53	181	71.01	BProteo_Ecoli_WP_000788761.1	BProteo_Ecoli_WP_000799914.1	3.147	IstB_IS21	""		P-loop containing nucleotide triphosphate hydrolases		""	P-loop containing nucleoside triphosphate hydrolases	""	
WP_000788763.1	WP_000799914.1	ATP-binding protein [Escherichia coli]	Escherichia coli	562	Bacteria>Proteobacteria	68.98	47.48	238	WP_000788763	ref|WP_000788763.1|	124	1	7	244	245	9	245	248	2.15e-53	182	71.01	BProteo_Ecoli_WP_000788763.1	BProteo_Ecoli_WP_000799914.1	3.147	IstB_IS21	""		P-loop containing nucleotide triphosphate hydrolases		""	P-loop containing nucleoside triphosphate hydrolases	""	
WP_000788764.1	WP_000799914.1	ATP-binding protein [Escherichia coli]	Escherichia coli	562	Bacteria>Proteobacteria	69.39	47.48	238	WP_000788764	ref|WP_000788764.1|	124	1	7	244	245	9	245	248	1.83e-53	182	71.43	BProteo_Ecoli_WP_000788764.1	BProteo_Ecoli_WP_000799914.1	3.147	IstB_IS21	""		P-loop containing nucleotide triphosphate hydrolases		""	P-loop containing nucleoside triphosphate hydrolases	""	
WP_000788765.1	WP_000799914.1	ATP-binding protein [Escherichia coli]	Escherichia coli	562	Bacteria>Proteobacteria	69.39	47.48	238	WP_000788765	ref|WP_000788765.1|	124	1	7	244	245	9	245	248	3.35e-53	181	71.43	BProteo_Ecoli_WP_000788765.1	BProteo_Ecoli_WP_000799914.1	3.147	IstB_IS21	""		P-loop containing nucleotide triphosphate hydrolases		""	P-loop containing nucleoside triphosphate hydrolases	""	
WP_000788770.1	WP_000799914.1	ATP-binding protein [Escherichia coli]	Escherichia coli	562	Bacteria>Proteobacteria	69.39	48.74	238	WP_000788770	ref|WP_000788770.1|	121	1	7	244	245	9	245	248	3.54e-53	181	71.43	BProteo_Ecoli_WP_000788770.1	BProteo_Ecoli_WP_000799914.1	3.147	IstB_IS21	AAA_5		P-loop containing nucleotide triphosphate hydrolases		""	P-loop containing nucleoside triphosphate hydrolases	""	
WP_000788771.1	WP_000799914.1	MULTISPECIES: ATP-binding protein [Enterobacteriaceae]	Enterobacteriaceae	543	Bacteria>Proteobacteria	70.21	48.32	238	WP_000788771	ref|WP_000788771.1|	122	1	7	244	245	9	245	248	5.4e-53	181	72.27	BProteo_E_WP_000788771.1	BProteo_Ecoli_WP_000799914.1	3.147	IstB_IS21	AAA_5		P-loop containing nucleotide triphosphate hydrolases		""	P-loop containing nucleoside triphosphate hydrolases	""	
WP_000788772.1	WP_000799914.1	MULTISPECIES: ATP-binding protein [Enterobacteriaceae]	Enterobacteriaceae	543	Bacteria>Proteobacteria	69.39	48.74	238	WP_000788772	ref|WP_000788772.1|	121	1	7	244	245	9	245	248	1.93e-53	182	71.43	BProteo_E_WP_000788772.1	BProteo_Ecoli_WP_000799914.1	3.147	IstB_IS21	AAA_5		P-loop containing nucleotide triphosphate hydrolases		""	P-loop containing nucleoside triphosphate hydrolases	""	
WP_000788936.1	WP_000799914.1	ATP-binding protein [Escherichia coli]	Escherichia coli	562	Bacteria>Proteobacteria	68.98	47.28	239	WP_000788936	ref|WP_000788936.1|	125	1	7	245	245	9	246	246	5.86e-53	181	70.71	BProteo_Ecoli_WP_000788936.1	BProteo_Ecoli_WP_000799914.1	3.147	IstB_IS21	AAA_5		P-loop containing nucleotide triphosphate hydrolases		""	P-loop containing nucleoside triphosphate hydrolases	""	
