AccNum	Query	STitle	Species	TaxID	Lineage	PcPositive	PcIdentity	AlnLength	SAccNum	SAllSeqID	Mismatch	GapOpen	QStart	QEnd	QLength	SStart	SEnd	SLength	EValue	BitScore	PcPosOrig	Name	QueryName	ClusterID	DomArch.Pfam	DomArch.SMART	DomArch.Phobius	DomArch.Gene3D	DomArch.TMHMM	DomArch.SignalP_GRAM_POSITIVE	DomArch.SUPERFAMILY	DomArch.MobiDBLite	DomArch.TIGRFAM
WP_000774910.1	ALE23408.1	MULTISPECIES: replicative DNA helicase [Vibrio]	Vibrio	662	Bacteria>Proteobacteria	89.13	80.13	463	WP_000774910	ref|WP_000774910.1|	92	0	7	469	469	6	468	468	0	712	90.28	BProteo_V_WP_000774910.1	BProteo_Pmirabilis_ALE23408.1	1.998	DnaB+DnaB_C	AAA_5		DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_000774911.1	ALE23408.1	MULTISPECIES: replicative DNA helicase [Vibrio]	Vibrio	662	Bacteria>Proteobacteria	89.13	80.13	463	WP_000774911	ref|WP_000774911.1|	92	0	7	469	469	6	468	468	0	710	90.28	BProteo_V_WP_000774911.1	BProteo_Pmirabilis_ALE23408.1	1.998	DnaB+DnaB_C	AAA_5		DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_000774912.1	ALE23408.1	replicative DNA helicase [Vibrio cholerae]	Vibrio cholerae	666	Bacteria>Proteobacteria	89.34	80.13	463	WP_000774912	ref|WP_000774912.1|	92	0	7	469	469	6	468	468	0	712	90.5	BProteo_Vcholerae_WP_000774912.1	BProteo_Pmirabilis_ALE23408.1	1.998	DnaB+DnaB_C	AAA_5		DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_000774914.1	ALE23408.1	MULTISPECIES: replicative DNA helicase [Vibrio]	Vibrio	662	Bacteria>Proteobacteria	89.13	79.91	463	WP_000774914	ref|WP_000774914.1|	93	0	7	469	469	6	468	468	0	706	90.28	BProteo_V_WP_000774914.1	BProteo_Pmirabilis_ALE23408.1	1.998	DnaB+DnaB_C	""		DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_000918353.1	ALE23408.1	MULTISPECIES: replicative DNA helicase [Salmonella]	Salmonella	590	Bacteria>Proteobacteria	93.82	85.56	471	WP_000918353	ref|WP_000918353.1|;ref|NP_463111.1|	66	1	1	469	469	1	471	471	0	714	93.42	BProteo_S_WP_000918353.1	BProteo_Pmirabilis_ALE23408.1	1.998	DnaB+DnaB_C	AAA_5		DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	consensus disorder prediction	DnaB
WP_000918354.1	ALE23408.1	replicative DNA helicase [Shigella dysenteriae]	Shigella dysenteriae	622	Bacteria>Proteobacteria	92.11	83.65	471	WP_000918354	ref|WP_000918354.1|	75	1	1	469	469	1	471	471	0	713	91.72	BProteo_Sdysenteriae_WP_000918354.1	BProteo_Pmirabilis_ALE23408.1	1.998	DnaB+DnaB_C	AAA_5		DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	consensus disorder prediction	DnaB
WP_000918355.1	ALE23408.1	MULTISPECIES: replicative DNA helicase [Escherichia]	Escherichia	561	Bacteria>Proteobacteria	92.32	84.08	471	WP_000918355	ref|WP_000918355.1|	73	1	1	469	469	1	471	471	0	716	91.93	BProteo_E_WP_000918355.1	BProteo_Pmirabilis_ALE23408.1	1.998	DnaB+DnaB_C	AAA_5		DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	consensus disorder prediction	DnaB
WP_000918356.1	ALE23408.1	replicative DNA helicase [Escherichia coli]	Escherichia coli	562	Bacteria>Proteobacteria	92.32	84.08	471	WP_000918356	ref|WP_000918356.1|	73	1	1	469	469	1	471	471	0	717	91.93	BProteo_Ecoli_WP_000918356.1	BProteo_Pmirabilis_ALE23408.1	1.998	DnaB+DnaB_C	AAA_5		DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	consensus disorder prediction	DnaB
WP_000918357.1	ALE23408.1	MULTISPECIES: replicative DNA helicase [Escherichia]	Escherichia	561	Bacteria>Proteobacteria	92.32	83.86	471	WP_000918357	ref|WP_000918357.1|	74	1	1	469	469	1	471	471	0	715	91.93	BProteo_E_WP_000918357.1	BProteo_Pmirabilis_ALE23408.1	1.998	DnaB+DnaB_C	AAA_5		DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	consensus disorder prediction	DnaB
WP_000918358.1	ALE23408.1	replicative DNA helicase [Escherichia coli]	Escherichia coli	562	Bacteria>Proteobacteria	92.11	83.86	471	WP_000918358	ref|WP_000918358.1|	74	1	1	469	469	1	471	471	0	716	91.72	BProteo_Ecoli_WP_000918358.1	BProteo_Pmirabilis_ALE23408.1	1.998	DnaB+DnaB_C	AAA_5		DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	consensus disorder prediction	DnaB
